AccX,AccY,AccZ,RawTilt,CompX,CompY,CompZ
27,-31,1070,2.18,319,177,-341
157,-51,1062,8.79,261,202,-370
138,-196,1054,12.74,264,287,-334
181,-255,1036,16.73,242,313,-335
309,-262,998,22.8,183,325,-351
435,-315,929,30.7,120,369,-342
429,-289,943,28.77,131,355,-349
455,-285,929,30.3,114,357,-349
544,-334,854,36.76,59,400,-331
617,-306,813,40.22,23,397,-333
589,-305,827,38.72,42,391,-337
548,-298,866,35.76,67,365,-352
583,-313,838,38.27,46,387,-335
576,-309,843,37.76,48,384,-342
673,-310,760,44.23,-14,399,-329
627,-274,812,40.9,20,374,-347
665,-237,796,41.51,-1,346,-361
565,-305,850,37.7,55,376,-342
627,-288,810,40.35,16,383,-338
560,-282,860,36.7,59,363,-355
542,-285,873,35.6,64,370,-348
491,-289,912,32,97,362,-350
483,-279,918,31.28,100,355,-352
516,-261,901,32.73,83,351,-357
410,-236,969,26.4,141,322,-365
464,-269,928,30.5,108,356,-350
395,-276,959,26.66,139,352,-351
222,-237,1036,17.34,228,297,-348
240,-189,1037,16.36,217,289,-354
139,-195,1057,12.7,253,271,-348
171,-115,1057,10.99,254,245,-357
144,-87,1061,8.96,263,221,-359
107,-82,1067,7.13,279,203,-358
31,-96,1076,5.28,315,213,-334
14,-19,1077,1.21,321,166,-337
11,-9,1076,0.74,321,168,-340
6,-6,1077,0.42,324,165,-338
8,-10,1078,0.63,323,165,-340
10,-8,1075,0.63,324,168,-339
7,-6,1077,0.47,323,168,-338
7,-10,1077,0.63,320,164,-341
8,-8,1079,0.58,323,165,-339
10,-7,1079,0.63,322,167,-339
5,-9,1076,0.53,325,164,-338
7,-9,1076,0.58,324,163,-338
6,-9,1076,0.53,321,166,-340
6,-8,1078,0.53,323,165,-337
9,-9,1076,0.63,322,167,-339
9,-9,1077,0.63,322,165,-336
7,-9,1076,0.58,323,166,-340
11,-11,1078,0.79,323,166,-338
10,-11,1077,0.74,322,167,-340
18,-22,1078,1.48,319,170,-338
53,-78,1069,5,298,201,-345
73,-178,1063,10.2,288,265,-331
98,-204,1062,11.98,281,281,-325
281,-309,991,22.82,194,346,-335
219,-252,1028,17.92,228,310,-344
323,-281,990,23.39,174,338,-347
386,-257,976,25.4,150,330,-355
418,-285,947,28.1,132,351,-350
472,-269,926,30.42,106,342,-360
469,-291,927,30.77,110,361,-348
509,-313,888,33.94,88,377,-344
562,-314,849,37.15,54,382,-339
508,-289,898,33.8,87,360,-353
514,-284,894,33.32,83,359,-350
556,-299,859,36.31,55,376,-341
488,-282,916,31.61,98,356,-352
585,-247,860,36.45,44,345,-364
536,-268,885,34.12,70,356,-358
538,-310,868,35.56,68,384,-340
456,-303,927,30.58,112,364,-347
455,-267,938,29.36,119,351,-354
354,-232,995,23.3,169,315,-360
380,-246,979,24.8,153,328,-360
356,-243,993,23.47,167,324,-356
262,-292,1005,21.3,203,342,-336
317,-230,1010,21.15,183,310,-356
192,-227,1039,15.92,236,296,-345
210,-195,1049,15.21,230,280,-355
188,-184,1050,14.2,234,271,-356
116,-175,1065,11.6,274,270,-338
98,-106,1070,7.63,282,231,-346
114,-39,1068,6.38,275,180,-362
84,-21,1075,4.55,292,173,-355
26,-19,1077,1.69,319,167,-344
16,-16,1077,1.16,322,168,-337
7,-12,1079,0.68,322,164,-338
8,-11,1078,0.69,322,164,-340
12,-15,1078,1,323,167,-338
21,-25,1077,1.69,319,172,-338
18,-21,1076,1.43,320,171,-337
12,-24,1076,1.37,321,172,-338
15,-21,1073,1.33,321,169,-340
18,-123,1070,6.58,315,226,-330
112,-33,1069,6.16,284,182,-360
45,-109,1070,6.21,298,228,-339
98,-82,1068,6.75,282,223,-350
234,-146,1046,14.69,216,257,-368
275,-251,1012,20.17,197,319,-346
220,-293,1015,19.81,221,339,-329
426,-289,948,28.5,127,357,-349
479,-276,920,31,101,354,-355
512,-286,894,33.27,82,368,-350
614,-263,830,38.79,31,366,-355
524,-329,873,35.33,73,396,-331
603,-249,846,37.62,34,354,-358
553,-323,856,36.8,64,389,-336
642,-306,795,41.79,6,389,-335
583,-292,838,37.89,48,378,-347
594,-295,832,38.54,34,382,-342
583,-304,835,38.2,43,388,-339
599,-269,840,37.99,39,361,-352
591,-268,848,37.39,41,372,-348
542,-277,877,34.77,71,360,-354
576,-296,849,37.31,46,377,-344
618,-272,824,39.32,26,377,-346
545,-302,872,35.57,63,372,-347
489,-290,910,32,97,361,-351
461,-284,928,30.28,117,360,-352
515,-265,903,32.71,81,346,-360
536,-262,889,33.87,71,356,-357
525,-292,883,34.23,73,376,-345
434,-309,936,29.64,124,373,-338
458,-278,934,29.84,112,344,-355
435,-263,946,28.27,125,339,-357
428,-270,951,28.5,124,358,-347
367,-263,980,24.72,156,327,-356
366,-288,972,25.59,160,349,-345
301,-240,1013,20.75,188,310,-355
314,-216,1013,20.6,182,302,-361
213,-160,1050,14.18,229,261,-362
186,-172,1057,13.42,239,272,-352
132,-76,1067,8.7,272,220,-355
91,-82,1071,6.47,288,217,-344
96,-62,1069,6.6,285,193,-354
76,-40,1074,4.5,299,188,-353
57,-38,1072,3.61,306,181,-345
48,-33,1077,3.6,304,177,-348
25,-30,1076,2.6,315,176,-343
15,-37,1076,2.6,318,179,-340
27,-73,1074,4.8,319,203,-338
91,-47,1074,5.4,290,187,-356
73,-129,1069,7.85,297,243,-334
114,-128,1068,9.6,271,233,-352
189,-214,1045,15.22,240,295,-344
253,-236,1028,18.53,211,312,-346
344,-255,994,23.3,167,328,-353
308,-261,1001,21.92,185,332,-344
295,-204,1024,19.25,194,287,-364
330,-250,994,22.61,171,320,-356
350,-284,984,24.59,167,346,-342
451,-262,945,28.9,113,335,-360
467,-284,926,30.57,108,364,-350
518,-293,891,33.77,76,365,-353
426,-251,961,27.23,129,327,-366
460,-271,933,29.77,112,342,-357
523,-273,891,33.51,74,351,-358
471,-272,924,30.48,107,350,-355
432,-331,927,30.45,124,380,-332
468,-267,934,29.98,110,339,-361
448,-276,940,29.26,117,345,-358
508,-291,898,33.11,82,367,-351
448,-271,944,29.2,122,346,-353
463,-275,930,30.8,109,349,-355
500,-264,917,31.68,92,349,-357
441,-224,966,27.11,125,318,-371
420,-274,960,27.59,134,354,-348
413,-246,971,26.32,139,325,-365
384,-242,984,24.73,156,324,-359
411,-235,979,25.81,138,316,-367
357,-254,988,23.92,162,324,-354
320,-155,1019,19.19,183,268,-377
271,-222,1027,18.8,204,307,-353
205,-164,1052,13.95,234,274,-353
216,-138,1053,13.62,231,257,-363
61,-151,1071,8.57,297,249,-332
89,-166,1066,9.96,285,258,-332
129,-92,1066,8.39,264,214,-363
154,-73,1066,9.2,264,219,-361
70,-13,1075,3.76,298,170,-352
21,-19,1080,1.48,320,169,-341
8,-7,1083,0.52,323,166,-339
9,-9,1078,0.63,321,165,-341
8,-13,1078,0.79,323,165,-339
12,-10,1080,0.79,324,166,-339
11,-8,1080,0.68,321,165,-340
7,-9,1082,0.58,321,164,-341
13,-11,1082,0.89,322,166,-339
7,-7,1081,0.47,321,164,-338
9,-11,1079,0.74,323,164,-338
5,-8,1079,0.47,325,161,-339
10,-11,1083,0.73,322,168,-341
17,-20,1080,1.37,321,169,-340
22,-26,1078,1.8,321,172,-340
44,-39,1077,3.6,307,182,-345
55,-64,1076,4.44,303,202,-342
15,-133,1076,7.1,314,235,-324
70,-66,1073,5.9,295,207,-346
93,-123,1074,8.13,280,238,-346
214,-275,1026,18.71,225,321,-336
276,-305,1001,22.32,193,347,-333
297,-270,1000,21.85,190,332,-345
366,-293,974,25.68,156,347,-345
491,-307,905,32.64,94,368,-346
515,-322,879,34.65,78,389,-338
523,-294,887,34.6,75,377,-343
502,-308,901,33.16,95,371,-345
559,-313,856,36.8,55,390,-333
430,-301,938,29.22,126,359,-346
488,-281,917,31.59,99,354,-352
514,-248,912,32.4,85,339,-366
497,-289,908,32.33,91,361,-352
466,-320,914,31.75,103,374,-339
379,-287,969,26.14,150,348,-348
501,-285,907,32.45,92,362,-351
428,-283,948,28.45,128,355,-351
475,-246,938,29.7,104,342,-360
362,-256,990,24.11,163,330,-354
381,-260,979,25.23,154,337,-352
380,-250,985,24.75,152,327,-360
299,-245,1010,20.9,189,313,-353
258,-169,1042,16.44,212,282,-359
154,-187,1057,12.86,252,276,-345
116,-165,1065,10.65,269,259,-343
153,-130,1063,10.62,262,250,-350
154,-91,1061,9.49,255,219,-363
46,-103,1072,5.94,308,223,-337
21,-26,1079,1.74,319,170,-339
7,-17,1079,0.95,321,169,-341
4,-5,1078,0.32,325,162,-337
7,-7,1084,0.47,324,164,-339
9,-11,1082,0.73,322,166,-339
9,-12,1084,0.79,322,167,-337
7,-7,1083,0.47,321,166,-339
10,-11,1080,0.74,322,166,-340
10,-10,1083,0.73,323,165,-339
14,-11,1083,0.89,321,163,-336
10,-9,1083,0.68,321,165,-339
10,-11,1079,0.74,324,168,-341
10,-9,1082,0.68,323,167,-339
8,-8,1081,0.58,325,164,-338
10,-11,1083,0.73,323,165,-339
7,-7,1083,0.47,323,166,-339
8,-7,1084,0.52,321,167,-339
7,-13,1081,0.74,324,168,-338
14,-32,1080,1.79,321,175,-337
37,-48,1079,3.17,313,182,-342
35,-71,1076,4.18,311,201,-338
22,-73,1078,4.1,313,206,-337
220,-134,1052,13.69,232,254,-364
193,-192,1052,14.46,240,280,-348
322,-210,1013,20.75,181,309,-361
258,-241,1029,18.91,209,306,-352
290,-266,1007,21.31,191,325,-348
333,-318,979,25.18,169,361,-338
437,-306,937,29.67,118,372,-341
550,-304,865,36,57,385,-338
390,-282,966,26.5,148,342,-348
429,-299,945,28.95,126,362,-345
448,-316,931,30.52,120,382,-337
408,-248,971,26.18,135,316,-369
439,-292,941,29.29,125,361,-346
509,-320,890,34.6,79,380,-344
483,-288,919,31.48,102,367,-349
414,-275,959,27.43,136,342,-355
429,-294,944,28.88,126,354,-350
447,-289,939,29.57,120,362,-347
333,-215,1010,21.4,176,304,-362
332,-220,1008,21.54,177,306,-362
434,-251,959,27.62,126,340,-359
352,-194,1008,21.69,171,288,-369
253,-249,1025,19.3,208,313,-349
230,-172,1051,15.24,228,286,-351
197,-159,1057,13.42,238,275,-354
151,-114,1063,10.4,257,241,-356
134,-121,1064,9.56,266,236,-350
61,-56,1074,4.34,301,188,-347
40,-60,1079,3.8,309,194,-343
33,-59,1080,3.53,311,186,-344
30,-70,1075,4.2,315,193,-336
21,-28,1081,1.84,321,170,-339
17,-28,1085,1.68,320,173,-342
15,-20,1080,1.32,321,166,-340
30,-27,1084,2.1,315,173,-344
41,-43,1077,3.12,312,185,-345
40,-39,1078,2.9,311,179,-348
32,-33,1078,2.38,314,173,-343
23,-42,1079,2.48,317,181,-338
16,-153,1074,8.7,312,248,-323
46,-107,1073,6.14,304,227,-337
72,-175,1072,9.96,283,253,-338
146,-180,1061,12.24,257,272,-344
235,-298,1009,20.58,220,343,-325
256,-325,999,22.46,203,353,-327
321,-260,1001,22.42,178,322,-351
419,-251,967,26.81,137,331,-361
513,-286,901,33.11,82,362,-352
505,-295,902,32.95,89,374,-342
432,-317,935,29.82,128,368,-343
466,-298,922,30.99,112,361,-348
531,-307,878,34.96,71,380,-340
541,-347,857,36.84,64,400,-327
584,-284,850,37.38,45,377,-348
569,-265,871,35.76,56,357,-357
551,-288,869,35.58,60,366,-349
599,-307,828,39.9,35,393,-334
583,-288,847,37.52,43,379,-341
523,-310,880,34.62,75,377,-344
587,-256,855,36.83,42,367,-352
540,-297,875,35.18,68,378,-345
563,-285,866,36.9,55,371,-351
506,-333,893,34.15,84,394,-333
518,-281,898,33.3,78,360,-349
564,-285,860,36.28,56,368,-351
470,-276,930,30.4,109,357,-353
511,-274,904,32.68,89,354,-356
446,-248,958,28.6,123,322,-368
493,-282,915,31.82,100,358,-352
477,-282,925,30.95,109,361,-350
474,-240,942,29.44,106,327,-366
484,-255,929,30.54,102,342,-361
442,-242,962,27.63,120,336,-361
337,-267,992,23.39,170,331,-352
345,-332,968,26.3,161,366,-333
384,-268,972,25.73,146,334,-355
367,-249,991,24.1,159,325,-358
253,-189,1036,16.88,216,283,-358
267,-219,1028,18.53,205,303,-351
214,-171,1053,14.5,236,277,-351
194,-155,1058,13.15,240,261,-359
287,-159,1032,17.61,195,275,-372
203,-167,1050,13.97,235,272,-357
258,-189,1041,17.1,211,281,-360
215,-178,1050,14.84,229,267,-362
155,-195,1056,13.23,251,278,-344
130,-204,1060,12.77,264,288,-334
233,-162,1049,15.6,223,268,-361
209,-204,1049,15.52,230,283,-351
231,-202,1043,16.32,217,286,-356
231,-188,1046,15.82,220,279,-356
250,-223,1035,17.91,215,302,-350
258,-192,1038,17.16,209,294,-354
310,-168,1028,18.88,190,276,-370
302,-244,1014,20.93,189,324,-349
347,-227,1005,22.39,170,307,-362
307,-259,1008,21.69,186,329,-346
360,-247,991,23.75,160,317,-360
444,-264,947,28.62,123,349,-355
445,-243,960,27.87,123,334,-362
450,-273,944,29.16,115,353,-357
444,-298,936,29.74,120,355,-351
420,-269,958,27.49,131,344,-353
443,-280,946,29.1,123,351,-352
510,-288,902,33,85,366,-349
508,-267,912,32.18,86,350,-360
537,-283,885,34.47,67,368,-351
442,-246,959,27.8,125,320,-365
547,-271,881,34.72,63,366,-353
550,-276,879,35.1,62,368,-348
433,-299,939,29.29,126,351,-352
438,-265,952,28.26,124,342,-355
329,-265,994,23.1,183,312,-359
441,-262,951,28.33,122,341,-357
474,-260,938,29.97,105,346,-357
447,-272,943,29.5,116,346,-358
414,-281,959,27.57,136,358,-343
382,-255,983,25.4,148,326,-361
453,-302,930,30.36,111,367,-346
417,-273,959,27.47,132,343,-358
453,-236,958,28.6,115,327,-368
395,-228,986,24.83,145,308,-369
288,-271,1008,21.39,201,326,-342
394,-253,977,25.61,141,333,-355
290,-266,1006,21.33,195,321,-348
412,-247,972,26.3,138,335,-357
355,-247,996,23.45,170,323,-357
316,-227,1011,21.3,185,314,-356
371,-260,984,24.73,150,335,-354
376,-231,993,23.96,153,324,-362
333,-208,1015,21.11,175,305,-364
372,-263,980,24.92,151,334,-353
395,-265,976,25.97,144,344,-351
352,-245,996,23.26,166,325,-359
307,-201,1021,19.7,192,297,-363
292,-201,1030,18.95,193,289,-362
241,-245,1031,18.38,216,322,-339
284,-220,1029,19.21,198,309,-352
321,-183,1020,19.87,179,286,-369
274,-242,1027,19.55,197,314,-348
284,-198,1028,18.58,200,302,-357
205,-209,1046,15.57,234,288,-346
247,-241,1032,18.46,217,318,-339
321,-221,1011,21.3,175,306,-363
278,-241,1023,19.72,198,310,-353
390,-255,982,25.36,144,332,-361
421,-253,964,27.2,129,325,-364
403,-241,980,25.59,141,319,-367
435,-299,944,29.21,126,356,-349
476,-268,934,30.35,109,348,-355
455,-286,936,29.88,113,359,-349
505,-293,908,32.74,86,364,-349
494,-300,907,32.5,92,371,-345
584,-264,857,36.77,44,364,-353
474,-302,922,31.4,108,367,-346
490,-288,917,31.81,99,367,-350
516,-294,897,33.51,83,373,-345
528,-274,897,33.54,72,358,-357
483,-240,939,29.9,105,330,-368
463,-280,933,30.15,113,356,-350
505,-264,909,32.8,88,349,-359
474,-290,928,30.92,106,360,-350
518,-261,907,32.64,81,355,-356
512,-282,902,32.95,83,362,-353
479,-274,930,30.69,108,357,-352
495,-288,913,32.11,95,366,-347
503,-241,925,31.9,94,334,-368
520,-288,893,33.66,76,369,-350
482,-263,929,30.61,105,343,-360
407,-266,966,26.73,141,338,-357
439,-272,951,28.52,123,351,-353
432,-209,972,26.26,135,313,-370
376,-241,988,24.3,152,316,-363
331,-239,1003,22.13,177,318,-356
402,-219,989,24.81,146,310,-370
293,-269,1006,21.53,192,321,-352
407,-256,968,26.4,137,343,-352
440,-273,948,28.64,121,346,-354
442,-261,952,28.35,123,344,-355
380,-196,998,23.17,158,301,-373
304,-228,1018,20.45,190,311,-355
284,-184,1032,18.11,201,290,-364
248,-284,1018,20.31,214,332,-335
178,-216,1050,14.84,245,284,-345
338,-229,1005,22.9,170,312,-360
299,-231,1017,20.33,187,314,-355
288,-229,1020,19.77,195,306,-354
348,-232,1001,22.67,164,314,-362
337,-235,1005,22.19,171,312,-361
324,-231,1010,21.45,180,301,-363
400,-268,972,26.35,140,342,-351
328,-238,1011,21.82,182,318,-353
464,-287,931,30.38,104,366,-345
429,-229,970,26.63,128,315,-368
459,-289,933,30.19,111,359,-352
443,-282,943,29.14,116,355,-349
528,-255,900,33.11,75,351,-356
501,-298,907,32.72,91,369,-344
499,-265,921,31.56,95,351,-354
425,-311,948,29.5,127,370,-340
516,-265,904,32.71,81,351,-359
485,-286,921,31.48,100,364,-351
445,-282,942,29.22,121,355,-349
502,-270,914,31.99,91,361,-352
520,-261,900,32.87,80,350,-358
484,-258,935,30.41,102,338,-361
524,-269,892,33.47,77,358,-352
478,-278,928,30.78,105,352,-355
533,-261,895,33.56,71,355,-359
510,-276,905,32.64,88,360,-354
560,-251,883,34.8,60,352,-360
506,-292,908,32.79,84,370,-350
511,-263,909,32.31,86,348,-357
480,-269,928,30.7,103,344,-360
525,-283,890,33.85,76,368,-348
535,-284,888,34.3,72,367,-349
543,-268,888,34.3,69,360,-357
507,-297,903,33.7,89,370,-346
477,-270,932,30.49,104,350,-356
446,-248,955,28.14,125,334,-363
476,-252,937,29.91,105,343,-361
499,-250,929,31.2,95,339,-364
496,-256,925,31.14,98,339,-363
416,-256,969,26.76,138,337,-358
482,-240,941,29.79,101,332,-366
472,-252,941,29.65,103,339,-362
463,-244,948,28.92,111,340,-360
413,-236,979,25.91,138,323,-365
396,-266,972,26.16,147,340,-356
368,-276,981,25.14,159,342,-348
482,-247,936,30.7,103,340,-362
389,-228,986,24.54,147,315,-368
443,-240,967,27.51,122,328,-365
425,-255,966,27.16,133,336,-357
430,-220,972,26.45,126,317,-370
470,-262,935,29.95,105,353,-354
486,-248,938,30.19,98,337,-363
435,-252,961,27.62,122,335,-360
372,-241,992,24.7,157,319,-360
447,-260,951,28.57,118,342,-357
437,-246,962,27.54,128,334,-360
468,-277,928,30.37,108,352,-353
503,-272,913,32.6,90,360,-354
508,-275,908,32.47,86,361,-349
509,-259,913,32.6,88,344,-359
499,-243,929,30.9,97,341,-361
495,-260,926,31.15,95,346,-358
520,-274,904,33.4,80,363,-354
541,-257,892,33.87,65,352,-362
551,-256,888,34.39,64,354,-358
467,-287,930,30.55,109,361,-348
481,-273,928,30.83,101,355,-353
528,-258,901,33.11,71,341,-364
574,-275,860,36.49,46,369,-349
571,-270,864,36.17,51,368,-350
556,-284,874,35.54,56,372,-347
589,-258,859,36.83,45,364,-353
579,-252,869,36,44,354,-360
568,-265,873,35.66,54,362,-357
487,-268,922,31.8,98,348,-359
493,-275,917,31.64,93,351,-359
531,-278,888,34.4,74,369,-350
458,-254,951,28.84,114,335,-361
541,-255,893,33.85,65,361,-355
552,-278,871,35.38,57,368,-349
460,-285,934,30.11,114,357,-353
523,-250,905,32.64,75,342,-363
475,-284,929,30.8,102,362,-352
461,-258,945,29.22,114,340,-359
500,-273,917,31.86,93,353,-356
514,-265,908,32.52,80,349,-361
444,-249,959,27.99,122,335,-363
432,-274,953,28.23,127,351,-352
462,-259,943,29.33,110,344,-357
454,-245,957,28.31,120,328,-363
493,-259,927,30.99,95,349,-356
466,-254,944,29.35,106,338,-363
479,-239,943,29.61,103,341,-362
493,-256,931,30.84,95,352,-355
406,-237,981,25.62,139,332,-361
280,-200,1032,18.41,203,277,-365
400,-256,972,26.2,139,323,-360
415,-254,973,26.57,134,339,-358
412,-221,983,25.43,139,314,-368
462,-243,952,28.77,113,331,-366
420,-224,975,26.5,134,316,-369
340,-266,993,23.47,170,342,-344
359,-230,1000,23.8,165,322,-359
284,-234,1025,19.68,196,303,-356
233,-201,1044,16.35,220,292,-351
274,-248,1022,19.84,200,318,-347
238,-163,1053,15.26,222,270,-360
267,-175,1042,16.99,199,279,-368
263,-225,1033,18.49,203,303,-353
368,-267,988,24.69,156,341,-353
377,-237,997,24.6,149,312,-366
337,-244,1006,22.47,173,318,-358
379,-289,968,26.21,152,357,-344
416,-279,960,27.54,134,356,-346
352,-259,992,23.78,163,332,-352
477,-286,923,31.11,101,365,-346
469,-266,934,30.3,103,343,-363
469,-236,948,29.1,110,332,-365
474,-285,927,30.86,103,355,-351
434,-237,970,27.2,126,328,-365
480,-256,934,30.25,100,342,-359
447,-228,967,27.42,118,320,-370
412,-238,979,25.91,135,311,-371
369,-262,986,24.64,161,337,-351
342,-305,986,24.93,170,358,-337
466,-264,939,29.71,108,348,-356
398,-183,1000,23.66,147,289,-379
409,-243,976,25.97,138,326,-363
400,-220,988,24.79,145,316,-366
380,-229,991,24.1,152,314,-364
408,-250,970,26.26,136,337,-357
441,-200,969,26.57,125,317,-368
432,-255,962,27.54,127,342,-357
375,-236,993,24.5,153,314,-364
398,-234,985,25.9,144,322,-366
290,-234,1025,19.93,195,309,-354
323,-232,1013,21.39,177,306,-361
347,-237,1006,22.66,165,313,-361
192,-235,1042,16.18,243,299,-339
262,-247,1028,19.28,201,314,-348
217,-203,1049,15.78,224,287,-351
177,-142,1064,11.95,244,247,-362
143,-184,1063,12.32,256,275,-344
129,-178,1068,11.55,270,280,-333
149,-205,1061,13.37,255,286,-339
142,-161,1068,11.29,263,269,-345
101,-98,1072,7.41,284,226,-346
103,-31,1077,5.65,286,192,-357
116,-82,1072,7.51,270,209,-360
98,-62,1075,6.8,288,198,-355
30,-121,1077,6.54,311,229,-328
83,-97,1074,6.71,284,227,-347
157,-104,1061,10.1,257,228,-361
92,-82,1074,6.5,288,222,-347
201,-162,1057,13.68,237,270,-354
221,-187,1051,15.34,226,287,-353
314,-242,1013,21.34,182,319,-352
337,-209,1011,21.38,177,303,-366
402,-277,966,26.82,138,350,-348
399,-263,973,26.13,142,341,-352
319,-284,998,23.17,189,332,-347
430,-238,970,26.87,130,327,-366
458,-278,936,29.78,114,356,-352
397,-260,977,25.9,148,336,-353
395,-208,989,24.29,145,303,-372
374,-241,991,24.15,156,325,-356
428,-262,958,27.64,128,343,-354
420,-252,969,26.81,132,334,-359
435,-240,965,27.23,125,325,-365
446,-264,949,28.67,119,347,-357
454,-278,941,29.52,117,350,-353
455,-275,944,29.39,121,357,-352
525,-288,892,33.87,74,371,-348
527,-286,892,33.92,75,362,-354
546,-269,883,34.57,65,364,-351
537,-246,905,33.14,76,346,-363
505,-259,919,31.72,90,345,-357
525,-274,902,33.31,78,361,-354
501,-284,911,32.29,91,364,-352
498,-264,922,31.44,93,351,-357
489,-255,927,30.77,99,336,-363
491,-269,923,31.23,96,354,-354
454,-264,945,29.9,117,343,-359
462,-277,934,29.98,110,356,-354
492,-268,924,31.26,97,353,-355
462,-270,938,29.73,114,351,-354
468,-252,944,29.39,109,339,-362
447,-235,957,27.85,119,326,-367
447,-254,953,28.37,117,341,-359
326,-261,1001,22.62,180,336,-349
245,-231,1034,17.98,214,307,-349
276,-247,1020,19.92,194,321,-347
340,-230,1009,22.11,171,314,-361
334,-222,1011,21.63,171,310,-363
277,-238,1028,19.53,199,324,-348
171,-189,1058,13.46,251,287,-339
237,-210,1046,16.78,217,296,-348
216,-255,1040,17.78,223,323,-337
164,-154,1067,11.82,251,258,-353
179,-95,1064,10.71,256,231,-361
150,-94,1068,9.37,263,224,-360
43,-132,1082,7.24,302,244,-330
112,-118,1076,8.53,273,233,-354
158,-94,1067,9.69,257,219,-363
95,-104,1075,7.39,281,231,-350
28,-68,1086,3.83,309,203,-337
66,-69,1079,5.1,297,207,-345
55,-93,1077,5.7,299,216,-343
68,-81,1078,5.54,293,210,-349
12,-171,1080,8.96,309,258,-319
139,-63,1070,8.5,269,208,-362
164,-203,1061,13.73,251,274,-347
62,-160,1077,8.98,295,255,-331
213,-174,1053,14.6,226,266,-362
184,-164,1061,13.1,249,270,-348
238,-192,1044,16.25,221,290,-355
294,-182,1034,18.43,199,285,-363
252,-225,1035,18.1,210,303,-353
340,-259,999,23.15,166,335,-351
374,-257,986,24.69,154,332,-358
473,-254,943,29.64,104,342,-359
385,-273,973,25.85,149,342,-350
479,-294,923,31.38,97,367,-345
432,-259,962,27.63,129,338,-359
374,-247,990,24.36,156,321,-361
406,-244,978,25.83,140,328,-362
480,-273,931,30.7,103,358,-356
420,-262,962,27.26,132,339,-358
395,-249,981,25.43,140,325,-363
424,-250,969,26.95,127,330,-364
